"藩","藩庁所在地","石高","NDLデジコレ","lon","lat","ウィキペディア"
"水戸藩","茨城県水戸市三の丸",350000,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/137",140.47722,36.37539,"https://ja.wikipedia.org/wiki/水戸藩"
"紀州藩","和歌山県和歌山市一番丁",555000,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/137",135.17177,34.22906,"https://ja.wikipedia.org/wiki/紀州藩"
"尾張藩","愛知県名古屋市中区本丸",619500,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/137",136.899,35.18548,"https://ja.wikipedia.org/wiki/尾張藩"
"彦根藩","滋賀県彦根市金亀町",200000,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/137",136.25237,35.27692,"https://ja.wikipedia.org/wiki/彦根藩"
"与板藩","新潟県長岡市与板町与板",20000,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/137",138.80983,37.5438,"https://ja.wikipedia.org/wiki/与板藩"
"淀藩","京都府京都市伏見区淀本町",102000,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/137",135.71841,34.9063,"https://ja.wikipedia.org/wiki/淀藩"
"館山藩","千葉県館山市館山",10000,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/137",139.85643,34.98469,"https://ja.wikipedia.org/wiki/館山藩"
"臼杵藩","大分県臼杵市臼杵",50060,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/137",131.80482,33.12556,"https://ja.wikipedia.org/wiki/臼杵藩"
"伊勢亀山藩","三重県亀山市本丸町",60000,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/137",136.4516,34.85615,"https://ja.wikipedia.org/wiki/伊勢亀山藩"
"下館藩","茨城県筑西市甲",20000,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/137",139.97809,36.31158,"https://ja.wikipedia.org/wiki/下館藩"
"浜松藩","静岡県浜松市中区元城町",60000,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/137",137.72655,34.71084,"https://ja.wikipedia.org/wiki/浜松藩"
"下妻藩","茨城県下妻市下妻甲",10000,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/137",139.96173,36.18668,"https://ja.wikipedia.org/wiki/下妻藩"
"高岡藩","千葉県成田市高岡",10000,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/137",140.35477,35.87891,"https://ja.wikipedia.org/wiki/高岡藩"
"備中松山藩","岡山県高梁市内山下",50000,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/137",133.61794,34.8017,"https://ja.wikipedia.org/wiki/備中松山藩"
"福島藩","福島県福島市杉妻町",30000,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/137",140.46889,37.75095,"https://ja.wikipedia.org/wiki/福島藩"
"安中藩","群馬県安中市安中三丁目",30000,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/137",138.89603,36.32949,"https://ja.wikipedia.org/wiki/安中藩"
"庭瀬藩","岡山県岡山市北区庭瀬",20000,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/137",133.8504,34.6466,"https://ja.wikipedia.org/wiki/庭瀬藩"
"飫肥藩","宮崎県日南市飫肥",51080,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/137",131.35742,31.62466,"https://ja.wikipedia.org/wiki/飫肥藩"
"岡田藩","岡山県倉敷市真備町岡田",10343,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/137",133.70502,34.65131,"https://ja.wikipedia.org/wiki/岡田藩"
"鳥羽藩","三重県鳥羽市鳥羽",30000,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/138",136.8394,34.48714,"https://ja.wikipedia.org/wiki/鳥羽藩"
"山上藩","滋賀県東近江市山上町",13043,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/138",136.30122,35.07848,"https://ja.wikipedia.org/wiki/山上藩"
"亀田藩","秋田県由利本荘市岩城下蛇田",20000,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/138",140.08806,39.49128,"https://ja.wikipedia.org/wiki/亀田藩"
"仁正寺藩","滋賀県蒲生郡日野町大字西大路",17004,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/138",136.2744,35.00847,"https://ja.wikipedia.org/wiki/仁正寺藩"
"本荘藩","秋田県由利本荘市尾崎",20021,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/138",140.04816,39.38548,"https://ja.wikipedia.org/wiki/本荘藩"
"請西藩","千葉県木更津市請西",10000,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/138",139.93697,35.37569,"https://ja.wikipedia.org/wiki/請西藩"
"二本松藩","福島県二本松市郭内",100700,"http://dl.ndl.go.jp/info:ndljp/pid/1177382/138",140.43739,37.59592,"https://ja.wikipedia.org/wiki/二本松藩"
